Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,DOI,PDF
"Bozdal, Mehmet; Samie, Mohammad; Jennions, Ian; ","A Survey on CAN Bus Protocol: Attacks, Challenges, and Potential Solutions","2018 International Conference on Computing, Electronics & Communications Engineering (iCCECE)",,,201-205,2018,IEEE,10.1109/iCCECOME.2018.8658720,
"Bozdal, Mehmet; Randa, Maulana; Samie, Mohammad; Jennions, Ian; ",Hardware Trojan Enabled Denial of Service Attack on CAN Bus,Procedia Manufacturing,16,,47-52,2018,Elsevier,10.1016/j.promfg.2018.10.158,
"Randa, Maulana; Bozdal, Mehmet; Samie, Mohammad; Jennions, Ian K; ",Layered Security for IEEE 1687 Using a Bimodal Physically Unclonable Function,Procedia Manufacturing,16,,24-30,2018,Elsevier,10.1016/j.promfg.2018.10.154,
"Irmak, Emrah; Bozdal, Mehmet; ","Internet of Things (IoT): The most up-to-date challenges, architectures, emerging trends and potential opportunities",,,,,2018,Foundation of Computer Science,10.5120/ijca2018916946,
"Bozdal, Mehmet; Samie, Mohammad; Aslam, Sohaib; Jennions, Ian; ",Evaluation of CAN Bus Security Challenges,Sensors,20,8,2364,2020,Multidisciplinary Digital Publishing Institute,10.3390/s20082364,
"Bozdal, Mehmet; Samie, Mohammad; Jennions, Ian K; ",WINDS: A Wavelet-Based Intrusion Detection System for Controller Area Network (CAN),IEEE Access,9,,58621-58633,2021,IEEE,10.1109/ACCESS.2021.3073057,assets/publications/WINDS_A_Wavelet-Based_Intrusion_Detection_System_for_Controller_Area_Network_CAN.pdf
"Bozdal, Mehmet; Ileri, Kadir; Ozkahraman, Ali; ",Comparative analysis of dimensionality reduction techniques for cybersecurity in the SWaT dataset,The Journal of Supercomputing,80,1,1059-1079,2024,Springer,10.1007/s11227-023-05511-w,
"Bozdal, Mehmet; ",Security through Digital Twin-Based Intrusion Detection: A SWaT Dataset Analysis,2023 16th International Conference on Information Security and Cryptology (ISCTürkiye),,,1-6,2023,IEEE,10.1109/ISCTurkiye60156.2023.10338779,
"Bozdal, Mehmet; ",Temporal Logic-Based Intrusion Detection for Securing Connected Vehicles,Novel & Intelligent Digital Systems Conferences,,,561-570,2024,Springer,10.1007/978-3-031-62520-6_54,
"Bozdal, Mehmet; Savaşci, Alper; ",Enhancing Intrusion Detection in Electric Networks Using Physics-Informed Random Forest,2024 Innovations in Intelligent Systems and Applications Conference (ASYU),,,1-5,2024,IEEE,10.1109/ASYU62119.2024.10757087,
"Bozdal, Mehmet; Pourmirza, Zoya; ",Cyber Threats to Green Hydrogen Production within a Solar Microgrid,International Conference on Security for Information Technology and Communications,,,,2024,Springer,10.1007/978-3-031-87760-5_7,
"Bozdal, Mehmet; Pourmirza, Zoya; ",Enhancing Cybersecurity in Hydrogen Energy Systems: A Simulation Environment for Benchmarking Datasets,Enhancing Cybersecurity in Hydrogen Energy Systems: A Simulation Environment for Benchmarking Datasets,,,287-291,2025,IEEE,10.1109/SEGE65970.2025.11203732,
